# X2 (y-model)  G=360  L=j/G  depth=30 cap=20000
# j i kill comps lambda maxoutdeg verdict
120 143 -1 2 1.0000 1 CYCLE
120 144 -1 2 1.0000 1 CYCLE
120 145 -1 11 1.0000 1 CYCLE
120 146 -1 9 1.0000 1 CYCLE
120 147 -1 7 1.0000 1 CYCLE
120 148 -1 7 1.0000 1 CYCLE
120 149 -1 7 1.0000 1 CYCLE
120 150 -1 7 1.0000 1 CYCLE
120 151 -1 12 1.0000 1 CYCLE
120 152 -1 5 1.0000 1 CYCLE
120 153 -1 5 1.0000 1 CYCLE
120 154 -1 5 1.0000 1 CYCLE
120 155 -1 5 1.0000 1 CYCLE
120 156 -1 5 1.0000 1 CYCLE
120 157 -1 5 1.0000 1 CYCLE
120 158 -1 5 1.0000 1 CYCLE
120 159 -1 5 1.0000 1 CYCLE
120 160 -1 5 1.0000 1 CYCLE
120 161 -1 8 1.0000 1 CYCLE
120 162 -1 8 1.0000 1 CYCLE
120 163 -1 8 1.0000 1 CYCLE
120 164 -1 14 1.0000 1 CYCLE
120 165 -1 3 1.0000 1 CYCLE
120 166 -1 3 1.0000 1 CYCLE
120 167 -1 3 1.0000 1 CYCLE
120 168 -1 3 1.0000 1 CYCLE
120 169 -1 3 1.0000 1 CYCLE
120 170 -1 3 1.0000 1 CYCLE
120 171 -1 3 1.0000 1 CYCLE
120 172 -1 3 1.0000 1 CYCLE
120 173 -1 3 1.0000 1 CYCLE
120 174 -1 3 1.0000 1 CYCLE
120 175 -1 3 1.0000 1 CYCLE
120 176 -1 3 1.0000 1 CYCLE
120 177 -1 3 1.0000 1 CYCLE
120 178 -1 3 1.0000 1 CYCLE
120 179 -1 3 1.0000 1 CYCLE
120 180 -1 3 1.0000 1 CYCLE
120 181 -1 3 1.0000 1 CYCLE
120 182 -1 3 1.0000 1 CYCLE
120 183 -1 3 1.0000 1 CYCLE
120 184 -1 3 1.0000 1 CYCLE
120 185 -1 3 1.0000 1 CYCLE
120 186 -1 3 1.0000 1 CYCLE
120 187 -1 3 1.0000 1 CYCLE
120 188 -1 3 1.0000 1 CYCLE
120 189 -1 3 1.0000 1 CYCLE
120 190 -1 10 1.0000 1 CYCLE
120 191 -1 17 1.0000 1 CYCLE
120 192 -1 7 1.0000 1 CYCLE
120 193 -1 7 1.0000 1 CYCLE
120 194 -1 7 1.0000 1 CYCLE
120 195 -1 11 1.0000 1 CYCLE
120 196 -1 4 1.0000 1 CYCLE
120 197 -1 4 1.0000 1 CYCLE
120 198 -1 4 1.0000 1 CYCLE
120 199 -1 4 1.0000 1 CYCLE
120 200 -1 4 1.0000 1 CYCLE
120 201 -1 4 1.0000 1 CYCLE
120 202 -1 4 1.0000 1 CYCLE
120 203 -1 4 1.0000 1 CYCLE
120 204 -1 4 1.0000 1 CYCLE
120 205 -1 4 1.0000 1 CYCLE
120 206 -1 4 1.0000 1 CYCLE
120 207 -1 4 1.0000 1 CYCLE
120 208 -1 4 1.0000 1 CYCLE
120 209 -1 4 1.0000 1 CYCLE
120 210 -1 4 1.0000 1 CYCLE
120 211 -1 9 1.0000 1 CYCLE
120 212 -1 9 1.0000 1 CYCLE
120 213 -1 5 1.0000 1 CYCLE
120 214 -1 5 1.0000 1 CYCLE
120 215 -1 5 1.0000 1 CYCLE
120 216 -1 5 1.0000 1 CYCLE
120 217 -1 5 1.0000 1 CYCLE
120 218 -1 5 1.0000 1 CYCLE
120 219 -1 5 1.0000 1 CYCLE
120 220 -1 5 1.0000 1 CYCLE
120 221 -1 5 1.0000 1 CYCLE
120 222 -1 11 1.0000 1 CYCLE
120 223 -1 6 1.0000 1 CYCLE
120 224 -1 6 1.0000 1 CYCLE
120 225 -1 6 1.0000 1 CYCLE
120 226 -1 6 1.0000 1 CYCLE
120 227 -1 6 1.0000 1 CYCLE
120 228 -1 6 1.0000 1 CYCLE
120 229 -1 7 1.0000 1 CYCLE
120 230 -1 7 1.0000 1 CYCLE
120 231 -1 7 1.0000 1 CYCLE
120 232 -1 7 1.0000 1 CYCLE
120 233 -1 8 1.0000 1 CYCLE
120 234 -1 8 1.0000 1 CYCLE
120 235 -1 8 1.0000 1 CYCLE
120 236 -1 9 1.0000 1 CYCLE
120 237 -1 10 1.0000 1 CYCLE
120 238 -1 11 1.0000 1 CYCLE
120 239 -1 12 1.0000 1 CYCLE
120 240 -1 1 1.0000 1 CYCLE
# row j=120 L=0.333333 n=241 KILL=0 CYCLE=241 FAT=0 CAP=0 certified=241 lambda[0.0000,0.0000]
121 0 -1 258 1.1654 2 FAT
121 1 -1 39 1.0632 2 FAT
121 2 -1 41 1.0594 2 FAT
121 3 -1 48 1.0756 2 FAT
121 4 -1 56 1.0921 2 FAT
121 5 -1 8 1.0000 1 CYCLE
121 6 -1 8 1.0000 1 CYCLE
121 7 -1 68 1.0925 2 FAT
121 8 -1 7 1.0000 1 CYCLE
121 9 -1 7 1.0000 1 CYCLE
121 10 -1 7 1.0000 1 CYCLE
121 11 -1 92 1.1145 2 FAT
121 12 -1 6 1.0000 1 CYCLE
121 13 -1 6 1.0000 1 CYCLE
121 14 -1 6 1.0000 1 CYCLE
121 15 -1 6 1.0000 1 CYCLE
121 16 -1 6 1.0000 1 CYCLE
121 17 -1 58 1.0878 2 FAT
121 18 -1 65 1.0936 2 FAT
121 19 -1 5 1.0000 1 CYCLE
121 20 -1 5 1.0000 1 CYCLE
121 21 -1 5 1.0000 1 CYCLE
121 22 -1 5 1.0000 1 CYCLE
121 23 -1 5 1.0000 1 CYCLE
121 24 -1 5 1.0000 1 CYCLE
121 25 -1 5 1.0000 1 CYCLE
121 26 -1 5 1.0000 1 CYCLE
121 27 -1 83 1.1074 2 FAT
121 28 -1 9 1.0000 1 CYCLE
121 29 -1 103 1.1207 2 FAT
121 30 -1 4 1.0000 1 CYCLE
121 31 -1 4 1.0000 1 CYCLE
121 32 -1 4 1.0000 1 CYCLE
121 33 -1 4 1.0000 1 CYCLE
121 34 -1 4 1.0000 1 CYCLE
121 35 -1 4 1.0000 1 CYCLE
121 36 -1 4 1.0000 1 CYCLE
121 37 -1 4 1.0000 1 CYCLE
121 38 -1 4 1.0000 1 CYCLE
121 39 -1 4 1.0000 1 CYCLE
121 40 -1 4 1.0000 1 CYCLE
121 41 -1 4 1.0000 1 CYCLE
121 42 -1 4 1.0000 1 CYCLE
121 43 -1 4 1.0000 1 CYCLE
121 44 -1 78 1.1043 2 FAT
121 45 -1 52 1.0843 2 FAT
121 46 -1 7 1.0000 1 CYCLE
121 47 -1 7 1.0000 1 CYCLE
121 48 -1 38 1.0653 2 FAT
121 49 -1 35 1.0577 2 FAT
121 50 -1 118 1.1289 2 FAT
