# X2 (y-model)  G=360  L=j/G  depth=30 cap=20000
# j i kill comps lambda maxoutdeg verdict
133 154 -1 490 1.1941 2 FAT
133 155 -1 490 1.1941 2 FAT
133 156 -1 490 1.1941 2 FAT
133 157 -1 490 1.1941 2 FAT
133 158 -1 490 1.1941 2 FAT
133 159 -1 490 1.1941 2 FAT
133 160 -1 490 1.1941 2 FAT
133 161 -1 205 1.1471 2 FAT
133 162 -1 175 1.1466 2 FAT
133 163 -1 175 1.1466 2 FAT
133 164 -1 71 1.1004 2 FAT
133 165 -1 9 1.0000 1 CYCLE
133 166 -1 6 1.0000 1 CYCLE
133 167 -1 6 1.0000 1 CYCLE
133 168 -1 6 1.0000 1 CYCLE
133 169 -1 6 1.0000 1 CYCLE
133 170 -1 3 1.0000 1 CYCLE
133 171 -1 3 1.0000 1 CYCLE
133 172 -1 6 1.0000 1 CYCLE
133 173 -1 6 1.0000 1 CYCLE
133 174 -1 6 1.0000 1 CYCLE
133 175 -1 6 1.0000 1 CYCLE
133 176 -1 9 1.0000 1 CYCLE
133 177 -1 118 1.1289 2 FAT
133 178 -1 199 1.1501 2 FAT
133 179 -1 230 1.1588 2 FAT
133 180 -1 230 1.1588 2 FAT
133 181 -1 275 1.1581 2 FAT
133 182 -1 573 1.1968 2 FAT
133 183 -1 870 1.2207 2 FAT
133 184 -1 870 1.2207 2 FAT
133 185 -1 870 1.2207 2 FAT
133 186 -1 870 1.2207 2 FAT
133 187 -1 870 1.2207 2 FAT
133 188 -1 870 1.2207 2 FAT
133 189 -1 870 1.2207 2 FAT
133 190 -1 568 1.1940 2 FAT
133 191 -1 400 1.1816 2 FAT
133 192 -1 153 1.1392 2 FAT
133 193 -1 153 1.1392 2 FAT
133 194 -1 153 1.1392 2 FAT
133 195 -1 358 1.1522 2 FAT
133 196 -1 160 1.0870 2 FAT
133 197 -1 160 1.0870 2 FAT
133 198 -1 592 1.1867 2 FAT
133 199 -1 103 1.1207 2 FAT
133 200 -1 279 1.1643 2 FAT
133 201 -1 279 1.1643 2 FAT
133 202 -1 279 1.1643 2 FAT
133 203 -1 279 1.1643 2 FAT
133 204 -1 279 1.1643 2 FAT
133 205 -1 279 1.1643 2 FAT
133 206 -1 279 1.1643 2 FAT
133 207 -1 391 1.1655 2 FAT
133 208 -1 877 1.2089 2 FAT
133 209 -1 1377 1.2361 2 FAT
133 210 -1 1810 1.2511 2 FAT
133 211 -1 1258 1.2296 2 FAT
133 212 -1 942 1.2177 2 FAT
133 213 -1 485 1.1775 2 FAT
133 214 -1 328 1.1511 2 FAT
133 215 -1 380 1.1689 2 FAT
133 216 -1 674 1.2033 2 FAT
133 217 -1 674 1.2033 2 FAT
133 218 -1 674 1.2033 2 FAT
133 219 -1 1049 1.2195 2 FAT
133 220 -1 1569 1.2447 2 FAT
133 221 -1 1569 1.2447 2 FAT
133 222 -1 1946 1.2480 2 FAT
133 223 -1 1675 1.2417 2 FAT
133 224 -1 1138 1.2261 2 FAT
133 225 -1 1547 1.2452 2 FAT
133 226 -1 2057 1.2588 2 FAT
133 227 -1 3088 1.2850 2 FAT
# row j=133 L=0.369444 n=228 KILL=0 CYCLE=58 FAT=170 CAP=0 certified=58 lambda[1.0365,1.2850]
134 0 -1 3088 1.2850 2 FAT
134 1 -1 2057 1.2588 2 FAT
134 2 -1 2143 1.2470 2 FAT
134 3 -1 2475 1.2602 2 FAT
134 4 -1 2313 1.2596 2 FAT
134 5 -1 2272 1.2599 2 FAT
134 6 -1 1569 1.2447 2 FAT
134 7 -1 1569 1.2447 2 FAT
134 8 -1 1049 1.2195 2 FAT
134 9 -1 674 1.2033 2 FAT
134 10 -1 674 1.2033 2 FAT
134 11 -1 674 1.2033 2 FAT
134 12 -1 1080 1.2015 2 FAT
134 13 -1 485 1.1775 2 FAT
134 14 -1 942 1.2177 2 FAT
134 15 -1 1258 1.2296 2 FAT
134 16 -1 1810 1.2511 2 FAT
134 17 -1 1810 1.2511 2 FAT
134 18 -1 1377 1.2361 2 FAT
134 19 -1 877 1.2089 2 FAT
134 20 -1 391 1.1655 2 FAT
134 21 -1 279 1.1643 2 FAT
134 22 -1 279 1.1643 2 FAT
134 23 -1 279 1.1643 2 FAT
134 24 -1 279 1.1643 2 FAT
134 25 -1 279 1.1643 2 FAT
134 26 -1 279 1.1643 2 FAT
134 27 -1 689 1.1833 2 FAT
134 28 -1 592 1.1867 2 FAT
134 29 -1 592 1.1867 2 FAT
134 30 -1 386 1.1335 2 FAT
134 31 -1 471 1.1644 2 FAT
134 32 -1 732 1.1860 2 FAT
134 33 -1 153 1.1392 2 FAT
134 34 -1 153 1.1392 2 FAT
134 35 -1 400 1.1816 2 FAT
134 36 -1 568 1.1940 2 FAT
134 37 -1 870 1.2207 2 FAT
134 38 -1 870 1.2207 2 FAT
134 39 -1 870 1.2207 2 FAT
134 40 -1 870 1.2207 2 FAT
134 41 -1 870 1.2207 2 FAT
134 42 -1 870 1.2207 2 FAT
134 43 -1 870 1.2207 2 FAT
134 44 -1 870 1.2207 2 FAT
134 45 -1 573 1.1968 2 FAT
134 46 -1 275 1.1581 2 FAT
134 47 -1 230 1.1588 2 FAT
134 48 -1 230 1.1588 2 FAT
134 49 -1 199 1.1501 2 FAT
134 50 -1 118 1.1289 2 FAT
134 51 -1 9 1.0000 1 CYCLE
134 52 -1 6 1.0000 1 CYCLE
134 53 -1 6 1.0000 1 CYCLE
134 54 -1 6 1.0000 1 CYCLE
134 55 -1 6 1.0000 1 CYCLE
134 56 -1 18 1.0000 1 CYCLE
134 57 -1 6 1.0000 1 CYCLE
134 58 -1 6 1.0000 1 CYCLE
134 59 -1 6 1.0000 1 CYCLE
134 60 -1 6 1.0000 1 CYCLE
134 61 -1 9 1.0000 1 CYCLE
134 62 -1 71 1.1004 2 FAT
134 63 -1 175 1.1466 2 FAT
134 64 -1 175 1.1466 2 FAT
134 65 -1 225 1.1466 2 FAT
134 66 -1 490 1.1941 2 FAT
134 67 -1 490 1.1941 2 FAT
134 68 -1 490 1.1941 2 FAT
134 69 -1 490 1.1941 2 FAT
134 70 -1 490 1.1941 2 FAT
134 71 -1 490 1.1941 2 FAT
134 72 -1 490 1.1941 2 FAT
134 73 -1 763 1.1935 2 FAT
134 74 -1 1408 1.2339 2 FAT
134 75 -1 2001 1.2534 2 FAT
134 76 -1 2053 1.2536 2 FAT
134 77 -1 1282 1.2274 2 FAT
134 78 -1 898 1.2151 2 FAT
134 79 -1 1884 1.2450 2 FAT
134 80 -1 1207 1.2200 2 FAT
134 81 -1 1431 1.2267 2 FAT
134 82 -1 1188 1.2367 2 FAT
134 83 -1 1188 1.2367 2 FAT
134 84 -1 1188 1.2367 2 FAT
134 85 -1 1188 1.2367 2 FAT
134 86 -1 1188 1.2367 2 FAT
134 87 -1 1188 1.2367 2 FAT
134 88 -1 1188 1.2367 2 FAT
134 89 -1 942 1.2241 2 FAT
134 90 -1 492 1.1903 2 FAT
134 91 -1 438 1.1903 2 FAT
134 92 -1 438 1.1903 2 FAT
134 93 -1 438 1.1903 2 FAT
134 94 -1 234 1.1621 2 FAT
134 95 -1 151 1.1422 2 FAT
134 96 -1 31 1.0365 2 FAT
134 97 -1 8 1.0000 1 CYCLE
134 98 -1 6 1.0000 1 CYCLE
134 99 -1 6 1.0000 1 CYCLE
134 100 -1 4 1.0000 1 CYCLE
134 101 -1 4 1.0000 1 CYCLE
134 102 -1 4 1.0000 1 CYCLE
134 103 -1 4 1.0000 1 CYCLE
134 104 -1 4 1.0000 1 CYCLE
134 105 -1 4 1.0000 1 CYCLE
134 106 -1 4 1.0000 1 CYCLE
134 107 -1 4 1.0000 1 CYCLE
134 108 -1 2 1.0000 1 CYCLE
134 109 -1 2 1.0000 1 CYCLE
134 110 -1 2 1.0000 1 CYCLE
134 111 -1 2 1.0000 1 CYCLE
134 112 -1 2 1.0000 1 CYCLE
134 113 -1 2 1.0000 1 CYCLE
134 114 -1 2 1.0000 1 CYCLE
134 115 -1 2 1.0000 1 CYCLE
134 116 -1 2 1.0000 1 CYCLE
134 117 -1 2 1.0000 1 CYCLE
134 118 -1 2 1.0000 1 CYCLE
134 119 -1 4 1.0000 1 CYCLE
134 120 -1 4 1.0000 1 CYCLE
134 121 -1 4 1.0000 1 CYCLE
134 122 -1 4 1.0000 1 CYCLE
134 123 -1 4 1.0000 1 CYCLE
134 124 -1 4 1.0000 1 CYCLE
134 125 -1 4 1.0000 1 CYCLE
134 126 -1 4 1.0000 1 CYCLE
134 127 -1 6 1.0000 1 CYCLE
134 128 -1 6 1.0000 1 CYCLE
134 129 -1 8 1.0000 1 CYCLE
134 130 -1 31 1.0365 2 FAT
134 131 -1 151 1.1422 2 FAT
134 132 -1 234 1.1621 2 FAT
134 133 -1 438 1.1903 2 FAT
134 134 -1 438 1.1903 2 FAT
134 135 -1 438 1.1903 2 FAT
134 136 -1 492 1.1903 2 FAT
134 137 -1 942 1.2241 2 FAT
134 138 -1 1188 1.2367 2 FAT
134 139 -1 1188 1.2367 2 FAT
134 140 -1 1188 1.2367 2 FAT
134 141 -1 1188 1.2367 2 FAT
134 142 -1 1188 1.2367 2 FAT
134 143 -1 1188 1.2367 2 FAT
134 144 -1 1188 1.2367 2 FAT
134 145 -1 1431 1.2267 2 FAT
134 146 -1 1207 1.2200 2 FAT
134 147 -1 1884 1.2450 2 FAT
134 148 -1 898 1.2151 2 FAT
134 149 -1 1282 1.2274 2 FAT
134 150 -1 2053 1.2536 2 FAT
134 151 -1 2001 1.2534 2 FAT
134 152 -1 1408 1.2339 2 FAT
134 153 -1 763 1.1935 2 FAT
134 154 -1 490 1.1941 2 FAT
134 155 -1 490 1.1941 2 FAT
134 156 -1 490 1.1941 2 FAT
134 157 -1 490 1.1941 2 FAT
134 158 -1 490 1.1941 2 FAT
134 159 -1 490 1.1941 2 FAT
134 160 -1 490 1.1941 2 FAT
134 161 -1 225 1.1466 2 FAT
134 162 -1 175 1.1466 2 FAT
134 163 -1 175 1.1466 2 FAT
134 164 -1 71 1.1004 2 FAT
134 165 -1 9 1.0000 1 CYCLE
134 166 -1 6 1.0000 1 CYCLE
134 167 -1 6 1.0000 1 CYCLE
134 168 -1 6 1.0000 1 CYCLE
134 169 -1 6 1.0000 1 CYCLE
134 170 -1 18 1.0000 1 CYCLE
134 171 -1 6 1.0000 1 CYCLE
134 172 -1 6 1.0000 1 CYCLE
134 173 -1 6 1.0000 1 CYCLE
134 174 -1 6 1.0000 1 CYCLE
134 175 -1 9 1.0000 1 CYCLE
134 176 -1 118 1.1289 2 FAT
134 177 -1 199 1.1501 2 FAT
134 178 -1 230 1.1588 2 FAT
134 179 -1 230 1.1588 2 FAT
134 180 -1 275 1.1581 2 FAT
134 181 -1 573 1.1968 2 FAT
134 182 -1 870 1.2207 2 FAT
134 183 -1 870 1.2207 2 FAT
134 184 -1 870 1.2207 2 FAT
134 185 -1 870 1.2207 2 FAT
134 186 -1 870 1.2207 2 FAT
134 187 -1 870 1.2207 2 FAT
134 188 -1 870 1.2207 2 FAT
134 189 -1 870 1.2207 2 FAT
134 190 -1 568 1.1940 2 FAT
134 191 -1 400 1.1816 2 FAT
134 192 -1 153 1.1392 2 FAT
134 193 -1 153 1.1392 2 FAT
134 194 -1 732 1.1860 2 FAT
134 195 -1 471 1.1644 2 FAT
134 196 -1 386 1.1335 2 FAT
134 197 -1 592 1.1867 2 FAT
134 198 -1 592 1.1867 2 FAT
134 199 -1 689 1.1833 2 FAT
134 200 -1 279 1.1643 2 FAT
134 201 -1 279 1.1643 2 FAT
134 202 -1 279 1.1643 2 FAT
134 203 -1 279 1.1643 2 FAT
134 204 -1 279 1.1643 2 FAT
134 205 -1 279 1.1643 2 FAT
134 206 -1 391 1.1655 2 FAT
134 207 -1 877 1.2089 2 FAT
134 208 -1 1377 1.2361 2 FAT
134 209 -1 1810 1.2511 2 FAT
134 210 -1 1810 1.2511 2 FAT
134 211 -1 1258 1.2296 2 FAT
134 212 -1 942 1.2177 2 FAT
134 213 -1 485 1.1775 2 FAT
134 214 -1 1080 1.2015 2 FAT
134 215 -1 674 1.2033 2 FAT
134 216 -1 674 1.2033 2 FAT
134 217 -1 674 1.2033 2 FAT
134 218 -1 1049 1.2195 2 FAT
134 219 -1 1569 1.2447 2 FAT
134 220 -1 1569 1.2447 2 FAT
134 221 -1 2272 1.2599 2 FAT
134 222 -1 2313 1.2596 2 FAT
134 223 -1 2475 1.2602 2 FAT
134 224 -1 2143 1.2470 2 FAT
134 225 -1 2057 1.2588 2 FAT
134 226 -1 3088 1.2850 2 FAT
# row j=134 L=0.372222 n=227 KILL=0 CYCLE=55 FAT=172 CAP=0 certified=55 lambda[1.0365,1.2850]
135 0 -1 3088 1.2850 2 FAT
135 1 -1 2928 1.2649 2 FAT
135 2 -1 3184 1.2745 2 FAT
135 3 -1 3290 1.2772 2 FAT
135 4 -1 2639 1.2690 2 FAT
135 5 -1 2325 1.2597 2 FAT
135 6 -1 1569 1.2447 2 FAT
135 7 -1 1569 1.2447 2 FAT
135 8 -1 1049 1.2195 2 FAT
135 9 -1 674 1.2033 2 FAT
135 10 -1 674 1.2033 2 FAT
135 11 -1 1772 1.2360 2 FAT
135 12 -1 1358 1.2189 2 FAT
135 13 -1 942 1.2177 2 FAT
135 14 -1 1258 1.2296 2 FAT
135 15 -1 1810 1.2511 2 FAT
135 16 -1 1810 1.2511 2 FAT
135 17 -1 1810 1.2511 2 FAT
135 18 -1 1377 1.2361 2 FAT
135 19 -1 877 1.2089 2 FAT
135 20 -1 391 1.1655 2 FAT
135 21 -1 279 1.1643 2 FAT
135 22 -1 279 1.1643 2 FAT
135 23 -1 279 1.1643 2 FAT
135 24 -1 279 1.1643 2 FAT
135 25 -1 279 1.1643 2 FAT
135 26 -1 689 1.1833 2 FAT
135 27 -1 1329 1.2288 2 FAT
135 28 -1 592 1.1867 2 FAT
135 29 -1 993 1.2084 2 FAT
135 30 -1 820 1.1878 2 FAT
135 31 -1 789 1.1942 2 FAT
135 32 -1 732 1.1860 2 FAT
135 33 -1 286 1.1375 2 FAT
135 34 -1 400 1.1816 2 FAT
135 35 -1 568 1.1940 2 FAT
135 36 -1 870 1.2207 2 FAT
135 37 -1 870 1.2207 2 FAT
135 38 -1 870 1.2207 2 FAT
135 39 -1 870 1.2207 2 FAT
135 40 -1 870 1.2207 2 FAT
135 41 -1 870 1.2207 2 FAT
135 42 -1 870 1.2207 2 FAT
135 43 -1 870 1.2207 2 FAT
135 44 -1 870 1.2207 2 FAT
135 45 -1 573 1.1968 2 FAT
135 46 -1 275 1.1581 2 FAT
135 47 -1 230 1.1588 2 FAT
135 48 -1 230 1.1588 2 FAT
135 49 -1 199 1.1501 2 FAT
135 50 -1 118 1.1289 2 FAT
135 51 -1 9 1.0000 1 CYCLE
135 52 -1 6 1.0000 1 CYCLE
135 53 -1 6 1.0000 1 CYCLE
135 54 -1 6 1.0000 1 CYCLE
135 55 -1 30 1.0000 1 CYCLE
135 56 -1 59 1.0386 2 FAT
135 57 -1 6 1.0000 1 CYCLE
135 58 -1 6 1.0000 1 CYCLE
135 59 -1 6 1.0000 1 CYCLE
135 60 -1 9 1.0000 1 CYCLE
135 61 -1 71 1.1004 2 FAT
135 62 -1 175 1.1466 2 FAT
135 63 -1 175 1.1466 2 FAT
135 64 -1 225 1.1466 2 FAT
135 65 -1 490 1.1941 2 FAT
135 66 -1 490 1.1941 2 FAT
135 67 -1 490 1.1941 2 FAT
135 68 -1 490 1.1941 2 FAT
135 69 -1 490 1.1941 2 FAT
135 70 -1 490 1.1941 2 FAT
135 71 -1 490 1.1941 2 FAT
135 72 -1 763 1.1935 2 FAT
135 73 -1 1408 1.2339 2 FAT
135 74 -1 2001 1.2534 2 FAT
135 75 -1 2379 1.2638 2 FAT
135 76 -1 2053 1.2536 2 FAT
135 77 -1 1282 1.2274 2 FAT
135 78 -1 1884 1.2450 2 FAT
135 79 -1 2063 1.2526 2 FAT
135 80 -1 1923 1.2447 2 FAT
135 81 -1 2489 1.2624 2 FAT
135 82 -1 1188 1.2367 2 FAT
135 83 -1 1188 1.2367 2 FAT
135 84 -1 1188 1.2367 2 FAT
135 85 -1 1188 1.2367 2 FAT
135 86 -1 1188 1.2367 2 FAT
135 87 -1 1188 1.2367 2 FAT
135 88 -1 1188 1.2367 2 FAT
135 89 -1 942 1.2241 2 FAT
135 90 -1 492 1.1903 2 FAT
135 91 -1 438 1.1903 2 FAT
135 92 -1 438 1.1903 2 FAT
135 93 -1 438 1.1903 2 FAT
135 94 -1 234 1.1621 2 FAT
135 95 -1 151 1.1422 2 FAT
135 96 -1 31 1.0365 2 FAT
135 97 -1 8 1.0000 1 CYCLE
135 98 -1 6 1.0000 1 CYCLE
135 99 -1 6 1.0000 1 CYCLE
135 100 -1 4 1.0000 1 CYCLE
135 101 -1 4 1.0000 1 CYCLE
135 102 -1 4 1.0000 1 CYCLE
135 103 -1 4 1.0000 1 CYCLE
135 104 -1 4 1.0000 1 CYCLE
135 105 -1 4 1.0000 1 CYCLE
135 106 -1 4 1.0000 1 CYCLE
135 107 -1 4 1.0000 1 CYCLE
135 108 -1 2 1.0000 1 CYCLE
135 109 -1 2 1.0000 1 CYCLE
135 110 -1 2 1.0000 1 CYCLE
135 111 -1 2 1.0000 1 CYCLE
135 112 -1 2 1.0000 1 CYCLE
135 113 -1 2 1.0000 1 CYCLE
135 114 -1 2 1.0000 1 CYCLE
135 115 -1 2 1.0000 1 CYCLE
135 116 -1 2 1.0000 1 CYCLE
135 117 -1 2 1.0000 1 CYCLE
135 118 -1 4 1.0000 1 CYCLE
135 119 -1 4 1.0000 1 CYCLE
135 120 -1 4 1.0000 1 CYCLE
135 121 -1 4 1.0000 1 CYCLE
135 122 -1 4 1.0000 1 CYCLE
135 123 -1 4 1.0000 1 CYCLE
135 124 -1 4 1.0000 1 CYCLE
135 125 -1 4 1.0000 1 CYCLE
135 126 -1 6 1.0000 1 CYCLE
135 127 -1 6 1.0000 1 CYCLE
135 128 -1 8 1.0000 1 CYCLE
135 129 -1 31 1.0365 2 FAT
135 130 -1 151 1.1422 2 FAT
135 131 -1 234 1.1621 2 FAT
135 132 -1 438 1.1903 2 FAT
135 133 -1 438 1.1903 2 FAT
135 134 -1 438 1.1903 2 FAT
135 135 -1 492 1.1903 2 FAT
135 136 -1 942 1.2241 2 FAT
135 137 -1 1188 1.2367 2 FAT
135 138 -1 1188 1.2367 2 FAT
135 139 -1 1188 1.2367 2 FAT
135 140 -1 1188 1.2367 2 FAT
135 141 -1 1188 1.2367 2 FAT
135 142 -1 1188 1.2367 2 FAT
135 143 -1 1188 1.2367 2 FAT
135 144 -1 2489 1.2624 2 FAT
135 145 -1 1923 1.2447 2 FAT
135 146 -1 2063 1.2526 2 FAT
135 147 -1 1884 1.2450 2 FAT
135 148 -1 1282 1.2274 2 FAT
135 149 -1 2053 1.2536 2 FAT
135 150 -1 2379 1.2638 2 FAT
135 151 -1 2001 1.2534 2 FAT
135 152 -1 1408 1.2339 2 FAT
135 153 -1 763 1.1935 2 FAT
135 154 -1 490 1.1941 2 FAT
135 155 -1 490 1.1941 2 FAT
135 156 -1 490 1.1941 2 FAT
135 157 -1 490 1.1941 2 FAT
135 158 -1 490 1.1941 2 FAT
135 159 -1 490 1.1941 2 FAT
135 160 -1 490 1.1941 2 FAT
135 161 -1 225 1.1466 2 FAT
135 162 -1 175 1.1466 2 FAT
135 163 -1 175 1.1466 2 FAT
135 164 -1 71 1.1004 2 FAT
135 165 -1 9 1.0000 1 CYCLE
135 166 -1 6 1.0000 1 CYCLE
135 167 -1 6 1.0000 1 CYCLE
135 168 -1 6 1.0000 1 CYCLE
135 169 -1 59 1.0386 2 FAT
135 170 -1 30 1.0000 1 CYCLE
135 171 -1 6 1.0000 1 CYCLE
135 172 -1 6 1.0000 1 CYCLE
135 173 -1 6 1.0000 1 CYCLE
135 174 -1 9 1.0000 1 CYCLE
135 175 -1 118 1.1289 2 FAT
135 176 -1 199 1.1501 2 FAT
135 177 -1 230 1.1588 2 FAT
135 178 -1 230 1.1588 2 FAT
135 179 -1 275 1.1581 2 FAT
135 180 -1 573 1.1968 2 FAT
135 181 -1 870 1.2207 2 FAT
135 182 -1 870 1.2207 2 FAT
135 183 -1 870 1.2207 2 FAT
135 184 -1 870 1.2207 2 FAT
135 185 -1 870 1.2207 2 FAT
135 186 -1 870 1.2207 2 FAT
135 187 -1 870 1.2207 2 FAT
135 188 -1 870 1.2207 2 FAT
135 189 -1 870 1.2207 2 FAT
135 190 -1 568 1.1940 2 FAT
135 191 -1 400 1.1816 2 FAT
135 192 -1 286 1.1375 2 FAT
135 193 -1 732 1.1860 2 FAT
135 194 -1 789 1.1942 2 FAT
135 195 -1 820 1.1878 2 FAT
135 196 -1 993 1.2084 2 FAT
135 197 -1 592 1.1867 2 FAT
135 198 -1 1329 1.2288 2 FAT
135 199 -1 689 1.1833 2 FAT
135 200 -1 279 1.1643 2 FAT
135 201 -1 279 1.1643 2 FAT
135 202 -1 279 1.1643 2 FAT
135 203 -1 279 1.1643 2 FAT
135 204 -1 279 1.1643 2 FAT
135 205 -1 391 1.1655 2 FAT
135 206 -1 877 1.2089 2 FAT
135 207 -1 1377 1.2361 2 FAT
135 208 -1 1810 1.2511 2 FAT
135 209 -1 1810 1.2511 2 FAT
135 210 -1 1810 1.2511 2 FAT
135 211 -1 1258 1.2296 2 FAT
135 212 -1 942 1.2177 2 FAT
135 213 -1 1358 1.2189 2 FAT
135 214 -1 1772 1.2360 2 FAT
135 215 -1 674 1.2033 2 FAT
135 216 -1 674 1.2033 2 FAT
135 217 -1 1049 1.2195 2 FAT
135 218 -1 1569 1.2447 2 FAT
135 219 -1 1569 1.2447 2 FAT
135 220 -1 2325 1.2597 2 FAT
135 221 -1 2639 1.2690 2 FAT
135 222 -1 3290 1.2772 2 FAT
135 223 -1 3184 1.2745 2 FAT
135 224 -1 2928 1.2649 2 FAT
135 225 -1 3088 1.2850 2 FAT
# row j=135 L=0.375000 n=226 KILL=0 CYCLE=50 FAT=176 CAP=0 certified=50 lambda[1.0365,1.2850]
136 0 -1 4362 1.2947 0 FAT
136 1 -1 4063 1.2880 2 FAT
136 2 -1 4127 1.2897 0 FAT
136 3 -1 3648 1.2848 2 FAT
136 4 -1 2639 1.2690 2 FAT
136 5 -1 2325 1.2597 2 FAT
136 6 -1 1569 1.2447 2 FAT
136 7 -1 1569 1.2447 2 FAT
136 8 -1 1049 1.2195 2 FAT
136 9 -1 999 1.2027 2 FAT
136 10 -1 1772 1.2360 2 FAT
136 11 -1 2074 1.2468 2 FAT
136 12 -1 2222 1.2502 2 FAT
136 13 -1 1812 1.2321 2 FAT
136 14 -1 1810 1.2511 2 FAT
136 15 -1 1810 1.2511 2 FAT
136 16 -1 1810 1.2511 2 FAT
136 17 -1 1810 1.2511 2 FAT
136 18 -1 1377 1.2361 2 FAT
136 19 -1 877 1.2089 2 FAT
136 20 -1 391 1.1655 2 FAT
136 21 -1 279 1.1643 2 FAT
136 22 -1 279 1.1643 2 FAT
136 23 -1 279 1.1643 2 FAT
136 24 -1 279 1.1643 2 FAT
136 25 -1 689 1.1833 2 FAT
136 26 -1 1329 1.2288 2 FAT
136 27 -1 1329 1.2288 2 FAT
136 28 -1 993 1.2084 2 FAT
136 29 -1 1668 1.2311 2 FAT
136 30 -1 1257 1.2128 2 FAT
136 31 -1 789 1.1942 2 FAT
136 32 -1 1124 1.1997 2 FAT
136 33 -1 1073 1.2059 2 FAT
136 34 -1 568 1.1940 2 FAT
136 35 -1 870 1.2207 2 FAT
136 36 -1 870 1.2207 2 FAT
136 37 -1 870 1.2207 2 FAT
136 38 -1 870 1.2207 2 FAT
136 39 -1 870 1.2207 2 FAT
136 40 -1 870 1.2207 2 FAT
136 41 -1 870 1.2207 2 FAT
136 42 -1 870 1.2207 2 FAT
136 43 -1 870 1.2207 2 FAT
136 44 -1 870 1.2207 2 FAT
136 45 -1 573 1.1968 2 FAT
136 46 -1 275 1.1581 2 FAT
136 47 -1 230 1.1588 2 FAT
136 48 -1 230 1.1588 2 FAT
136 49 -1 199 1.1501 2 FAT
136 50 -1 118 1.1289 2 FAT
136 51 -1 9 1.0000 1 CYCLE
136 52 -1 9 1.0000 1 CYCLE
136 53 -1 6 1.0000 1 CYCLE
136 54 -1 30 1.0000 1 CYCLE
136 55 -1 59 1.0386 2 FAT
136 56 -1 59 1.0386 2 FAT
136 57 -1 18 1.0000 1 CYCLE
136 58 -1 6 1.0000 1 CYCLE
136 59 -1 9 1.0000 1 CYCLE
136 60 -1 71 1.1004 2 FAT
136 61 -1 175 1.1466 2 FAT
136 62 -1 175 1.1466 2 FAT
136 63 -1 225 1.1466 2 FAT
136 64 -1 490 1.1941 2 FAT
136 65 -1 490 1.1941 2 FAT
136 66 -1 490 1.1941 2 FAT
136 67 -1 490 1.1941 2 FAT
136 68 -1 490 1.1941 2 FAT
136 69 -1 490 1.1941 2 FAT
136 70 -1 490 1.1941 2 FAT
136 71 -1 763 1.1935 2 FAT
136 72 -1 1408 1.2339 2 FAT
136 73 -1 2001 1.2534 2 FAT
136 74 -1 2379 1.2638 2 FAT
136 75 -1 2379 1.2638 2 FAT
136 76 -1 2053 1.2536 2 FAT
136 77 -1 2658 1.2604 2 FAT
136 78 -1 2063 1.2526 2 FAT
136 79 -1 2990 1.2711 2 FAT
136 80 -1 3069 1.2745 2 FAT
136 81 -1 2489 1.2624 2 FAT
136 82 -1 1405 1.2366 2 FAT
136 83 -1 1188 1.2367 2 FAT
136 84 -1 1188 1.2367 2 FAT
136 85 -1 1188 1.2367 2 FAT
136 86 -1 1188 1.2367 2 FAT
136 87 -1 1188 1.2367 2 FAT
136 88 -1 1188 1.2367 2 FAT
136 89 -1 942 1.2241 2 FAT
136 90 -1 492 1.1903 2 FAT
136 91 -1 438 1.1903 2 FAT
136 92 -1 438 1.1903 2 FAT
136 93 -1 438 1.1903 2 FAT
136 94 -1 234 1.1621 2 FAT
136 95 -1 151 1.1422 2 FAT
136 96 -1 31 1.0365 2 FAT
136 97 -1 8 1.0000 1 CYCLE
136 98 -1 6 1.0000 1 CYCLE
136 99 -1 6 1.0000 1 CYCLE
136 100 -1 4 1.0000 1 CYCLE
136 101 -1 4 1.0000 1 CYCLE
136 102 -1 4 1.0000 1 CYCLE
136 103 -1 4 1.0000 1 CYCLE
136 104 -1 4 1.0000 1 CYCLE
136 105 -1 4 1.0000 1 CYCLE
136 106 -1 4 1.0000 1 CYCLE
136 107 -1 4 1.0000 1 CYCLE
136 108 -1 4 1.0000 1 CYCLE
136 109 -1 2 1.0000 1 CYCLE
136 110 -1 2 1.0000 1 CYCLE
136 111 -1 2 1.0000 1 CYCLE
136 112 -1 2 1.0000 1 CYCLE
136 113 -1 2 1.0000 1 CYCLE
136 114 -1 2 1.0000 1 CYCLE
136 115 -1 2 1.0000 1 CYCLE
136 116 -1 4 1.0000 1 CYCLE
136 117 -1 4 1.0000 1 CYCLE
136 118 -1 4 1.0000 1 CYCLE
136 119 -1 4 1.0000 1 CYCLE
136 120 -1 4 1.0000 1 CYCLE
136 121 -1 4 1.0000 1 CYCLE
136 122 -1 4 1.0000 1 CYCLE
136 123 -1 4 1.0000 1 CYCLE
136 124 -1 4 1.0000 1 CYCLE
136 125 -1 6 1.0000 1 CYCLE
136 126 -1 6 1.0000 1 CYCLE
136 127 -1 8 1.0000 1 CYCLE
136 128 -1 31 1.0365 2 FAT
136 129 -1 151 1.1422 2 FAT
136 130 -1 234 1.1621 2 FAT
136 131 -1 438 1.1903 2 FAT
136 132 -1 438 1.1903 2 FAT
136 133 -1 438 1.1903 2 FAT
136 134 -1 492 1.1903 2 FAT
136 135 -1 942 1.2241 2 FAT
